"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,69.7,62.5,0,0,241,0.262569832402235
"2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2022,70.2,62,0,0,254,0.335195530726257
"3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,65.6,65.1,0,1,264,0.503030303030303
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,36.2,33,0.39,0,217,0.218181818181818
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,41.1,35,0,0,242,0.36969696969697
"6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022,63.2,52.3,0,0,311,0.653631284916201
"7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2021,47.9,35.9,0,1,240,0.24609375
"8",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2021,65.7,60.1,0.31,0,297,0.46875
"9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,56.6,53.8,0,0,286,0.513966480446927
"10",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,79.6,75.5,0,0,318,0.692737430167598
"11",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,61.4,57.4,0,0,263,0.385474860335196
"12",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022,61.9,50,0.03,0,281,0.486033519553073
"13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,64.9,63.6,0.86,1,296,0.569832402234637
"14",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,70.3,59.9,0,0,261,0.484848484848485
"15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,51.1,50.2,0,1,255,0.448484848484848
"16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,42.3,38.1,0,1,255,0.448484848484848
"17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2023,48.4,43.7,0,0,278,0.587878787878788
"18",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2023,54.5,50.1,0.48,1,261,0.484848484848485
"19",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2021,72.9,69,0,0,379,0.7890625
"20",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,45.3,39.7,0,0,264,0.33984375
"21",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2021,42.5,36.1,0.01,0,323,0.5703125
"22",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2021,57.9,56.1,0.81,1,275,0.3828125
"23",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2021,75.2,70.6,0,1,323,0.5703125
"24",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2021,64.2,61.6,0.16,0,290,0.44140625
"25",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2022,57.2,46.1,0.03,0,324,0.726256983240223
"26",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2022,36.9,16.5,0,0,306,0.625698324022346
"27",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,61.2,53.5,0,1,334,0.782122905027933
"28",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2022,69.2,65.6,0,0,303,0.608938547486033
"29",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,71.2,69.8,0,1,249,0.307262569832402
"30",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,45,35.8,0.17,0,289,0.53072625698324
"31",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2022,34.1,13.6,0.01,0,299,0.58659217877095
"32",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2022,60.6,56.6,0,1,255,0.340782122905028
"33",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,48.6,33.1,0,0,283,0.497206703910615
"34",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,47.8,34.1,0,0,256,0.346368715083799
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,31,9.9,0,0,278,0.46927374301676
"36",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2023,36.5,19.4,0,0,287,0.642424242424242
"37",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2023,58.6,51.5,0.17,0,300,0.721212121212121
"38",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2023,58.3,44.5,0,0,195,0.0848484848484849
"39",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2023,61.8,59.5,0,0,289,0.654545454545455
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,42.2,38.9,0.53,0,264,0.503030303030303
"41",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,45.2,44.4,0.67,1,254,0.442424242424242
"42",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2023,50.8,46.8,0.13,0,265,0.509090909090909
"43",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2023,70.8,69.3,0.04,0,274,0.563636363636364
"44",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2022,47,31.5,0,0,239,0.251396648044693
