"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,68.7,67.9,0,1,719,0.65979381443299
"2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,42.2,39.7,0.22,0,689,0.597938144329897
"3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2018,37.8,34.5,0.38,0,616,0.447422680412371
"4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2018,65.6,62.6,0,1,673,0.564948453608247
"5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2018,53,49.7,0.48,0,695,0.610309278350516
"6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2018,57.4,50.3,0,0,594,0.402061855670103
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,9.5,-0.5,0,0,453,0.111340206185567
"8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,35.2,29.1,0,0,580,0.37319587628866
"9",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2018,54.9,48.9,0,0,696,0.612371134020619
"10",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2018,60.9,51,0.03,0,626,0.468041237113402
"11",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2018,62.3,55.4,0,0,650,0.517525773195876
"12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,73.1,69.6,0,0,651,0.519587628865979
"13",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2018,60.9,53.6,0,0,672,0.562886597938144
