"","day_reordered","temp","dewp","prcp","fog","NUM_COLLISIONS","NUM_COLLISIONS_norm"
"1",3,69.7,62.5,0,0,241,0.262569832402235
"2",3,70.2,62,0,0,254,0.335195530726257
"3",3,65.6,65.1,0,1,264,0.503030303030303
"4",3,36.2,33,0.39,0,217,0.218181818181818
"5",3,41.1,35,0,0,242,0.36969696969697
"6",3,63.2,52.3,0,0,311,0.653631284916201
"7",3,47.9,35.9,0,1,240,0.24609375
"8",3,65.7,60.1,0.31,0,297,0.46875
"9",3,56.6,53.8,0,0,286,0.513966480446927
"10",3,79.6,75.5,0,0,318,0.692737430167598
"11",3,61.4,57.4,0,0,263,0.385474860335196
"12",3,61.9,50,0.03,0,281,0.486033519553073
"13",3,64.9,63.6,0.86,1,296,0.569832402234637
"14",3,70.3,59.9,0,0,261,0.484848484848485
"15",3,51.1,50.2,0,1,255,0.448484848484848
"16",3,42.3,38.1,0,1,255,0.448484848484848
"17",3,48.4,43.7,0,0,278,0.587878787878788
"18",3,54.5,50.1,0.48,1,261,0.484848484848485
"19",3,72.9,69,0,0,379,0.7890625
"20",3,45.3,39.7,0,0,264,0.33984375
"21",3,42.5,36.1,0.01,0,323,0.5703125
"22",3,57.9,56.1,0.81,1,275,0.3828125
"23",3,75.2,70.6,0,1,323,0.5703125
"24",3,64.2,61.6,0.16,0,290,0.44140625
"25",3,57.2,46.1,0.03,0,324,0.726256983240223
"26",3,36.9,16.5,0,0,306,0.625698324022346
"27",3,61.2,53.5,0,1,334,0.782122905027933
"28",3,69.2,65.6,0,0,303,0.608938547486033
"29",3,71.2,69.8,0,1,249,0.307262569832402
"30",3,45,35.8,0.17,0,289,0.53072625698324
"31",3,34.1,13.6,0.01,0,299,0.58659217877095
"32",3,60.6,56.6,0,1,255,0.340782122905028
"33",3,48.6,33.1,0,0,283,0.497206703910615
"34",3,47.8,34.1,0,0,256,0.346368715083799
"35",3,31,9.9,0,0,278,0.46927374301676
"36",3,36.5,19.4,0,0,287,0.642424242424242
"37",3,58.6,51.5,0.17,0,300,0.721212121212121
"38",3,58.3,44.5,0,0,195,0.0848484848484849
"39",3,61.8,59.5,0,0,289,0.654545454545455
"40",3,42.2,38.9,0.53,0,264,0.503030303030303
"41",3,45.2,44.4,0.67,1,254,0.442424242424242
"42",3,50.8,46.8,0.13,0,265,0.509090909090909
"43",3,70.8,69.3,0.04,0,274,0.563636363636364
"44",3,47,31.5,0,0,239,0.251396648044693
"45",3,48.7,36.2,0.02,0,293,0.553072625698324
"46",3,35.8,24.2,0,0,292,0.44921875
"47",3,41.2,37.8,0.4,0,242,0.25390625
"48",3,70.8,66.8,0.2,0,314,0.670391061452514
"49",3,58.5,48.7,0,0,216,0.122905027932961
"50",3,49.2,43.3,0,0,282,0.491620111731844
"51",3,45.7,38.4,0.41,0,203,0.0502793296089385
"52",3,34.5,23.8,0,0,238,0.245810055865922
"53",3,55.8,54.3,0.31,1,298,0.581005586592179
"54",3,66.2,63.4,0,0,280,0.480446927374302
"55",3,49.4,46.9,0.04,1,329,0.754189944134078
"56",3,67.4,64.3,0.77,1,319,0.698324022346369
"57",3,38.4,24.4,0.04,0,265,0.396648044692737
"58",3,40.7,28.9,0,0,311,0.653631284916201
"59",3,73.1,72.1,0,1,303,0.608938547486033
"60",3,29.7,22.4,0.1,0,305,0.620111731843575
"61",3,22.9,6.6,0,0,312,0.659217877094972
"62",3,40,34.3,0,0,317,0.824242424242424
"63",3,42,27,0,0,257,0.460606060606061
"64",3,32.6,22.7,0,0,250,0.28515625
"65",3,50.9,43.1,0,0,320,0.55859375
"66",3,47.9,33.5,0.04,0,302,0.48828125
"67",3,51.4,39.6,0.02,0,343,0.6484375
"68",3,72.4,68.1,0,0,339,0.6328125
"69",3,70.1,66.8,0,0,249,0.412121212121212
"70",3,43.7,35.3,0,0,265,0.509090909090909
"71",3,52.8,44.3,0,0,283,0.618181818181818
"72",3,54.8,43.6,0,0,265,0.509090909090909
"73",3,22.1,6.4,0,0,253,0.296875
"74",3,73.8,69.7,0,1,328,0.58984375
"75",3,52.6,45.8,0.01,0,345,0.65625
