day_reordered,temp,dewp,prcp,fog,NUM_COLLISIONS,NUM_COLLISIONS_norm
3,68.7,67.9,0,1,719,0.6751173708920187
3,42.2,39.7,0.22,0,689,0.6469483568075117
3,37.8,34.5,0.38,0,616,0.5784037558685446
3,65.6,62.6,0,1,673,0.631924882629108
3,53,49.7,0.48,0,695,0.6525821596244131
3,57.4,50.3,0,0,594,0.5577464788732395
3,9.5,-0.5,0,0,453,0.4253521126760563
3,35.2,29.1,0,0,580,0.5446009389671361
3,54.9,48.9,0,0,696,0.6535211267605634
3,60.9,51,0.03,0,626,0.5877934272300469
3,62.3,55.4,0,0,650,0.6103286384976526
3,73.1,69.6,0,0,651,0.6112676056338028
3,60.9,53.6,0,0,672,0.6309859154929578
3,46.4,33.6,0,0,675,0.6338028169014085
3,41.7,24.7,0,0,497,0.4666666666666667
3,56.2,45.3,0,0,686,0.644131455399061
3,69.1,68.1,0.05,1,617,0.5793427230046948
3,66.7,66,0.04,0,562,0.5276995305164319
3,51,50.1,0.15,0,698,0.6553990610328638
3,50.5,49.6,0,1,689,0.6469483568075117
3,37.7,31.2,0.01,1,562,0.5276995305164319
3,53.4,52.6,0.08,0,409,0.38403755868544603
3,46.7,41,0,0,697,0.6544600938967137
3,42.1,40.1,0.72,1,557,0.5230046948356808
3,36.4,35.9,0,0,559,0.5248826291079812
3,57.1,51.9,0,0,692,0.6497652582159624
3,51,49,0.66,1,697,0.6544600938967137
3,62.9,60.4,0,1,808,0.7586854460093897
3,46.2,40.4,0.07,0,656,0.615962441314554
3,47.5,41.9,0,0,759,0.7126760563380282
3,71.3,66.7,0,0,580,0.5446009389671361
3,30.5,6.6,0,0,686,0.644131455399061
3,35.5,23.8,0,0,651,0.6112676056338028
3,43.3,24.9,0.36,0,650,0.6103286384976526
3,63.8,60.8,0.25,1,733,0.6882629107981221
3,45.4,42.8,0.04,0,743,0.6976525821596244
3,44.7,44.7,0.11,1,741,0.6957746478873239
3,60.7,55.7,0,0,501,0.4704225352112676
3,40.3,37.7,0.2,1,531,0.49859154929577465
3,69.9,69.1,0,0,533,0.5004694835680751
3,68.4,64.9,0,0,719,0.6751173708920187
3,36.3,20.4,0.01,0,625,0.5868544600938967
3,49,37.9,0,0,558,0.5806451612903226
3,41.7,36,0.26,0,496,0.5161290322580645
3,67.1,62.7,1.8,1,774,0.8054110301768991
3,43.2,36.1,0,1,510,0.5306971904266389
3,63.9,52.9,0,0,624,0.6493236212278877
3,51.4,37.7,0,0,615,0.6399583766909469
3,74.8,69.6,0,0,614,0.6389177939646202
3,35.6,26.1,0,0,661,0.6878251821019771
3,69.9,68.1,0.04,0,614,0.5765258215962441
3,42.5,38.1,1.28,1,706,0.6629107981220658
3,31.6,24.5,0,0,523,0.49107981220657276
3,36.4,25,0.01,0,710,0.6666666666666666
3,32,23.7,0,0,622,0.584037558685446
3,38.1,35.4,0.01,0,435,0.4084507042253521
3,62,56.1,0,0,583,0.5474178403755868
3,69.4,66.9,0.01,1,595,0.512489233419466
3,37.8,35.3,0.29,0,559,0.48148148148148145
3,67.9,61.5,0.11,1,662,0.570198105081826
3,36.5,33.6,0.06,1,960,0.8268733850129198
3,69.7,67,0,0,567,0.4883720930232558
3,49,32.4,0,0,591,0.5090439276485789
3,65.2,50,0,0,622,0.5357450473729544
3,52.1,48.9,0.09,0,666,0.5736434108527132
3,41.2,27.8,0.01,0,411,0.35400516795865633
3,42,33.9,0,0,533,0.4590869939707149
3,68.6,62.8,0.04,0,614,0.52885443583118
3,57.5,47.6,0,0,610,0.5254091300602929
3,57.8,46.2,0.23,0,581,0.5004306632213609
3,46.5,37.2,0.01,0,597,0.5142118863049095
3,48.2,42.2,0,0,560,0.48234280792420325
3,53.7,40,0,0,618,0.5322997416020672
3,48.1,44.1,1.04,0,630,0.7845579078455791
3,68.5,65.6,0,0,639,0.7957658779576587
3,72.8,69.7,0,0,649,0.8082191780821918
3,66.9,61.7,0,0,575,0.7160647571606475
3,73.1,63,0,0,637,0.7932752179327521
3,71.2,63.9,0,0,586,0.7297633872976339
3,69.9,65.6,0,0,627,0.6276276276276276
3,43,31.7,0,0,646,0.6466466466466466
3,63.9,57.3,0,0,656,0.6566566566566566
3,46.9,39.6,0,0,634,0.6346346346346347
3,67.7,65.2,0,1,602,0.6026026026026026
3,66.7,59.2,0,0,669,0.6696696696696697
3,67.3,66.8,0,1,639,0.6396396396396397
3,49.3,45.3,0,1,639,0.6396396396396397
3,32.7,23.9,0,0,706,0.7067067067067067
3,38.4,28.3,0,0,725,0.7257257257257257
3,62.3,58.2,0,0,641,0.6416416416416416
3,34,23.1,0,0,545,0.5455455455455456
3,48.8,44.3,0,0,699,0.6996996996996997
3,49.6,47,0,0,371,0.3713713713713714
3,39.2,26.3,0.36,0,750,0.7507507507507507
3,37.5,21,0.02,0,568,0.5685685685685685
3,18.3,5.7,0,0,669,0.6696696696696697
3,21.9,6.4,0,0,792,0.7927927927927928
3,58,51.4,0,0,739,0.7397397397397397
3,37.4,28.7,0.03,0,449,0.4494494494494494
3,43.2,30.5,2.17,1,680,0.7798165137614679
3,36.4,31.4,0.15,1,501,0.5745412844036697
3,72.5,66.3,0,0,673,0.7717889908256881
3,35.3,22.9,0,0,722,0.8279816513761468
3,43.8,33.8,0,0,640,0.7339449541284404
3,57.5,41.6,0.07,0,573,0.6571100917431193
3,68.2,62.4,0.55,0,569,0.6525229357798165
3,47.8,38.9,0,0,624,0.7155963302752294
3,65.1,52.1,0,0,648,0.7431192660550459
3,35.9,30.3,0.13,1,642,0.6426426426426426
3,62.2,61.6,0,1,682,0.6826826826826827
3,60.4,52,1.61,0,832,0.8328328328328328
3,68.3,66.1,0,0,667,0.6676676676676677
3,56.4,48.3,0,0,488,0.48848848848848847
3,51.1,43.8,0.14,0,729,0.7297297297297297
3,63,58,0,0,620,0.6206206206206206
3,46.6,42.4,0,0,541,0.5415415415415415
3,51.4,40.5,0,0,719,0.7197197197197197
3,42,38.3,0.03,1,629,0.6296296296296297
3,28.9,11.2,0,0,618,0.6186186186186187
3,50,41.3,0.09,0,638,0.6386386386386387
3,67.5,64.2,0,0,606,0.6066066066066066
3,43,28.8,0,0,635,0.6356356356356356
3,73.8,66.7,0.47,1,669,0.7672018348623854
3,63.1,58.4,0.01,0,618,0.7087155963302753
3,60.5,56.1,0,0,490,0.5619266055045872
3,34.4,24.9,0.45,0,481,0.551605504587156
3,51.3,48,0.22,1,589,0.6754587155963303
3,47.4,36.7,0.35,0,699,0.801605504587156
